Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.58     0.00  1419418     0.00     0.00  void Kokkos::atomic_store<Particle>(Particle*, desul::Impl::dont_deduce_this_parameter<Particle const>::type)
  0.00      0.58     0.00  1309909     0.00     0.00  vec3<double> operator+<double>(vec3<double> const&, vec3<double> const&)
  0.00      0.58     0.00  1201200     0.00     0.00  double& std::forward<double&>(std::remove_reference<double&>::type&)
  0.00      0.58     0.00  1000500     0.00     0.00  ParticleManagerBase::setParticle(unsigned int, Particle&)
  0.00      0.58     0.00   800300     0.00     0.00  vec3<double> operator/<double>(vec3<double>, double)
  0.00      0.58     0.00   709709     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::sumDensity, 4u>, void (unsigned int const&), SPH* const>::manager<SPH::sumDensity()::{lambda(unsigned int const&)#4}>::do_call(void*, unsigned int const&)
  0.00      0.58     0.00   709709     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::internalForces, 2u>, void (unsigned int const&), SPH* const>::manager<SPH::internalForces()::{lambda(unsigned int const&)#2}>::do_call(void*, unsigned int const&)
  0.00      0.58     0.00   709709     0.00     0.00  void desul::atomic_sub<vec3<double>, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice>(vec3<double>*, vec3<double>, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  0.00      0.58     0.00   709709     0.00     0.00  vec3<double> desul::atomic_fetch_add<vec3<double>, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice>(vec3<double>*, vec3<double>, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  0.00      0.58     0.00   709709     0.00     0.00  vec3<double> desul::atomic_fetch_sub<vec3<double>, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice>(vec3<double>*, vec3<double>, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  0.00      0.58     0.00   709709     0.00     0.00  vec3<double> desul::Impl::atomic_fetch_oper<desul::Impl::AddOper<vec3<double>, vec3<double> const>, vec3<double>, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice, 0>(desul::Impl::AddOper<vec3<double>, vec3<double> const> const&, vec3<double>*, desul::Impl::dont_deduce_this_parameter<vec3<double> const>::type, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  0.00      0.58     0.00   709709     0.00     0.00  desul::Impl::AddOper<vec3<double>, vec3<double> const>::apply(vec3<double> const&, vec3<double> const&)
  0.00      0.58     0.00   709709     0.00     0.00  desul::Impl::SubOper<vec3<double>, vec3<double> const>::apply(vec3<double> const&, vec3<double> const&)
  0.00      0.58     0.00   709709     0.00     0.00  void Kokkos::atomic_add<vec3<double> >(vec3<double>*, desul::Impl::dont_deduce_this_parameter<vec3<double> const>::type)
  0.00      0.58     0.00   709709     0.00     0.00  void Kokkos::atomic_sub<vec3<double> >(vec3<double>*, desul::Impl::dont_deduce_this_parameter<vec3<double> const>::type)
  0.00      0.58     0.00   709709     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::sumDensity, 4u>, void (unsigned int const&), SPH* const>::operator()(unsigned int const&) const
  0.00      0.58     0.00   709709     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::internalForces, 2u>, void (unsigned int const&), SPH* const>::operator()(unsigned int const&) const
  0.00      0.58     0.00   709709     0.00     0.00  vec3<double>::operator-() const
  0.00      0.58     0.00   709709     0.00     0.00  SPH::sumDensity()::{lambda(unsigned int const&)#4}::operator()(unsigned int const&) const
  0.00      0.58     0.00   384832     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<int const*, int const*>(int const*, int const*) const
  0.00      0.58     0.00   384832     0.00     0.00  std::initializer_list<int>::begin() const
  0.00      0.58     0.00   202124     0.00     0.00  Kokkos::Impl::ViewDimension<0ul>::extent(unsigned int) const
  0.00      0.58     0.00   200200     0.00     0.00  IdealGasEos::pFromRhoAndU(double, double)
  0.00      0.58     0.00   200200     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (Diagnostics::*)(), &Diagnostics::updateDiagnostics, 1u>, void (unsigned int const&, double&), Diagnostics* const>::manager<Diagnostics::updateDiagnostics()::{lambda(unsigned int const&, double&)#1}>::do_call(void*, unsigned int const&, double&)
